1:0:1:2011:24B8:13E:820000:0:0:0:,CNN Int. Europe,
1:0:1:13F5:5DC:13E:820000:0:0:0:,ITV Polska,
1:0:1:3DBB:640:13E:820000:0:0:0:,Religia TV,
1:0:1:1C80:457:1:C00000:0:0:0:,TRWAM,
1:0:1:10DC:3E8:13E:820000:0:0:0:,Mango 24,
1:0:1:3318:190:13E:820000:0:0:0:,EUROSPORT HD PL,
1:0:1:360A:C8:13E:820000:0:0:0:,Eurosport Pl,
1:0:1:3B63:12C:13E:820000:0:0:0:,EUROSPORT 2 HD,
1:0:1:3636:C8:13E:820000:0:0:0:,EUSP 2 NE Pl,
1:0:1:3D5F:2C88:13E:820000:0:0:0:,Orange Sport Info Polska,
1:0:1:3D58:2C88:13E:820000:0:0:0:,TVP Sport,tvp_sport
1:0:1:2909:1EDC:71:820000:0:0:0:,TVP Sport,tvp_sport
1:0:1:3A34:1FA4:13E:820000:0:0:0:,Sport Klub,
1:0:1:DC0:2D50:13E:820000:0:0:0:,Sport Klub +,
1:0:1:3AB9:514:13E:820000:0:0:0:,nSPORT HD,nsport
1:0:1:10DA:3E8:13E:820000:0:0:0:,nSport,nsport
1:0:1:2912:1EDC:71:820000:0:0:0:,Polsat Sport New,
1:0:1:C1D:1E78:71:820000:0:0:0:,POLSAT SPORT HD,
1:0:1:3330:3390:71:820000:0:0:0:,Polsat Sport,
1:0:1:C24:1E78:71:820000:0:0:0:,POLSAT SPORT EXTRA HD,
1:0:1:3331:3390:71:820000:0:0:0:,Polsat Sport Ext,
1:0:1:1CAC:1CE8:71:820000:0:0:0:,ESPN Classic Sp,
1:0:1:1C88:1CE8:71:820000:0:0:0:,Fightbox,
1:0:1:1C89:1CE8:71:820000:0:0:0:,Extreme Sports,
1:0:1:1D2B:2FA8:13E:820000:0:0:0:,Cartoon Network,
1:0:1:377C:44C:13E:820000:0:0:0:,MINIMINI+ HD,
1:0:1:1137:2AF8:13E:820000:0:0:0:,Mini Mini,
1:0:1:377D:44C:13E:820000:0:0:0:,TELETOON+ HD & Hyper+ HD,
1:0:1:12C6:2E7C:13E:820000:0:0:0:,teleTOON+ Pl,
1:0:1:1D2A:2FA8:13E:820000:0:0:0:,Disney Channel,
1:0:1:1CB5:1CE8:71:820000:0:0:0:,Disney XD Polska,
1:0:1:2938:1EDC:71:820000:0:0:0:,Disney Junior,
1:0:1:DAD:2D50:13E:820000:0:0:0:,Disney Junior Polska,
1:0:1:290C:1EDC:71:820000:0:0:0:,Polsat Jim Jam,
1:0:1:1F:578:13E:820000:0:0:0:,NICKELODEON HD,
1:0:1:B:3200:13E:820000:0:0:0:,Nickelodeon Euro,
1:0:1:1E:578:13E:820000:0:0:0:,nick jr.,
1:0:1:2906:1EDC:71:820000:0:0:0:,Boomerang,
1:0:1:390D:32C8:13E:820000:0:0:0:,BBC CBeebies,
1:0:1:439D:2CEC:13E:820000:0:0:0:,Baby TV,
1:0:1:1:3200:13E:820000:0:0:0:,MTV LIVE HD,
1:0:1:12CA:2E7C:13E:820000:0:0:0:,MTV Rocks,
1:0:1:2:3200:13E:820000:0:0:0:,MTV Polska,
1:0:1:7:3200:13E:820000:0:0:0:,VH1 Polska,
1:0:1:3DC3:640:13E:820000:0:0:0:,Eska TV SD,
1:0:1:5:3200:13E:820000:0:0:0:,VIVA Polska,
1:0:1:13F1:5DC:13E:820000:0:0:0:,Trace TV,
1:0:1:3D5D:2C88:13E:820000:0:0:0:,KP Muzyka,
1:0:1:1134:2AF8:13E:820000:0:0:0:,4 Fun.tv,
1:0:1:34C7:3C28:13E:820000:0:0:0:,Rebel TV,
1:0:1:75:1E14:13E:820000:0:0:0:,Hot TV (Poland),
1:0:1:E27:708:C8:820000:0:0:0:,POLO TV,
1:0:1:2982:3D54:13E:820000:0:0:0:,DISCO TV,
1:0:1:69:1E14:13E:820000:0:0:0:,Mezzo,
1:0:1:43A3:2CEC:13E:820000:0:0:0:,Fashion TV,
1:0:1:34BE:3C28:13E:820000:0:0:0:,Fashion One,
1:0:1:44E3:258:13E:820000:0:0:0:,World Fashion Channel,
1:0:1:313:1B58:13E:820000:0:0:0:,TV Moda,
1:0:1:37AA:44C:13E:820000:0:0:0:,HBO OD,
